mcc_code,name_mon
5411,"Хүнсний дэлгүүр, супермаркет"
5499,Bakery
5631,"Эмэгтэй гоёл, зүүлт"
5641,Хүүхэд болон нярайн хувцас хэрэглэлийн дэлгүүр
5661,Гутлын дэлгүүр
5732,Цахилгаан бараа
5944,"Алт мөнгөн эдлэл, гоёл чимэглэл"
7994,Интэрнет кафе
4812,Гар утас худалдаа
5932,Шашны бараа
5942,Номын дэлгүүр
5021,Оффисын тавилга
8062,Эмнэлэг
5231,Нүдний шил
8211,Сургалтын төв
8299,Гадаад хэлний сургалт
8351,Хүүхдийн цэцэрлэг
4582,Тийз
9402,Шуудангийн салбар
7534,Авто засварын газар
7542,Авто угаалга
7011,Зочид буудал
5172,Шатахуун түгээх
7997,Гольф
7941,Фитнесс
7832,Кино Театр
4722,Аялал жуулчлал
4816,"Компьютер, гар утас худалдаа"
5812,"Хоолны газар, ресторан"
5813,"Шөнийн цэнгээний газар, паб"
6012,Ломбард
6300,Даатгалын компани
6010,Банк бус
7216,Хими цэвэрлэгээ
5013,Авто сэлбэг
5039,Барилгын материал
5192,Бичиг хэрэг
5193,Гэр ахуйн бараа
5921,"Шар айраг, вино, архины төрөлжсөн дэлгүүр"
5399,Бусад бараа бүтээгдэхүүний худалдаа
5422,"Мах, махан бүтээгдэхүүний нийлүүлэлт"
5441,"Чихэр, самар, амттаны дэлгүүр"
5451,"Сүү, сүүн бүтээгдэхүүний дэлгүүр"
5311,Их дэлгүүр
5331,Төрөлжсөн бус барааны дэлгүүр
5309,Татваргүй барааны дэлгүүр
5310,Хямдралтай барааны дэлгүүр
5300,Бөөний худалдаа
5611,"Эрэгтэйчүүдийн хувцас, хэрэглэлийн төрөлжсөн дэлгүүр"
5621,Эмэгтэйчүүдийн хувцасны төрөлжсөн дэлгүүр
5651,Гэр бүлийн хувцасны дэлгүүр
5655,Спорт хувцасны дэлгүүр
5681,Үслэг эдлэлийн дэлгүүр
5698,Хиймэл үсний дэлгүүр
5699,"Бусад эдлэл хэрэглэл, гоѐл чимэглэлийн дэлгүүр"
5712,"Гэрийн тавилга, цахилгаан бараанаас бусад ахуйн барааны дэлгүүр"
5713,"Хивс, хивсэнцэр, шалны дэвсгэрийн дэлгүүр"
5714,"Бөс бараа, хөшиг, бүрээсний дэлгүүр"
5718,"Зуух, зуухны хамгаалалт, жижиг хэрэгслийн дэлгүүр"
5719,Бусад гэр ахуйн төрөлжсөн барааны дэлгүүр
5722,Гэр ахуйн цахилгаан барааны дэлгүүр
5733,"Хөгжмийн дэлгүүр - хөгжмийн зэмсэг, төгөлдөр хуур, нот"
5734,Компьютерийн програм хангамжийн дэлгүүр
5735,"Дуу бичлэг, хуурцаг, CD, DVD-ний дэлгүүр"
5912,"Эм, гоо сайхан, ариун цэврийн барааны дэлгүүр"
5931,Хуучин барааны дэлгүүр
5940,Унадаг дугуйн дэлгүүр
5941,Спорт барааны дэлгүүр
5943,"Бичиг хэрэг, оффисын хангамж, бичгийн болон хэвлэлийн цаасны дэлгүүр"
5945,Тоглоомын дэлгүүр
5946,"Гэрэл зургийн аппарат, холбогдох хэрэгслийн дэлгүүр"
5947,"Бэлэг, мэндчилгээ, бэлэг дурсгалын дэлгүүр"
5948,"Аяллын цүнх, арьсан бүтээгдэхүүний дэлгүүр"
5949,"Бөс бараа, оѐдлын барааны дэлгүүр"
5950,Шилэн эдлэлийн дэлгүүр
5970,"Уран зураг, гар урлалын хэрэгслийн дэлгүүр"
5971,"Галарей, уран зургийн худалдаа"
5972,"Тамга, зоосны дэлгүүр"
5973,Шашны эдлэл хэрэглэлийн дэлгүүр
5975,"Сонсголын аппарат, дагалдах хэрэгслийн худалдаа"
5976,Согог заслын бүтээгдэхүүн худалдаа
5977,Гоо сайхны барааны дэлгүүр
5992,Цэцгийн дэлгүүр
5993,Тамхины төрөлжсөн дэлгүүр болон цэг
5994,Сонин сэтгүүлийн худалдаа
5995,"Тэжээвэр амьтан, амьтны хоол, жижиг хэрэгслийн дэлгүүр,"
5998,"Майхан, сүүдрэвчний дэлгүүр"
5999,Бусад төрөлжсөн барааны дэлгүүр
5200,Гэр ахуйн барааны дэлгүүр
5211,"Модон эдлэл, барилгын материалын дэлгүүр"
5251,Техник хэрэгслийн дэлгүүр
5261,"Зүлэгжүүлэлт, цэцэрлэгжүүлэлтийн барааны дэлгүүр"
5592,Зөөврийн сууцны худалдаа
5531,Автомашин болон гэр ахуйн барааны дэлгүүр
5532,Автомашины дугуйны дэлгүүр
5533,"Автомашины сэлбэг, жижиг хэрэгслийн дэлгүүр"
5561,"Мотоциклийн дэлгүүр, худалдаа"
742,Мал эмнэлгийн үйлчилгээ
4119,Түргэн тусламжийн үйлчилгээ
8071,"Эрүүл мэнд, шүдний лаборатори"
8099,Эрүүл мэндийн үйлчилгээ
8049,"Хөлийн эрүүл мэнд, эмчилгээ"
8050,"Асаргаа, сувилгааны газар"
8011,Эмч
8021,Шүдний эмч
8041,Бариа засал
8043,"Нүдний эмч, нүдний шилний газар"
7911,"Бүжгийн танхим, студи, сургууль"
8220,Их дээд сургууль
8241,Эчнээ сургууль
8244,Бизнесийн сургууль
8249,Мэргэжил олгох сургууль
